type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.gate,arrival.delay,arrival.baggage,departure.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,error
departure,active,dad,vvdn,2,2.0,2023-11-01t12:05:00.000,2023-11-01t12:05:00.000,2023-11-01t12:07:00.000,2023-11-01t12:07:00.000,2023-11-01t12:07:00.000,sin,wsss,4,2023-11-01t16:00:00.000,2023-11-01t15:32:00.000,,a1,a1,2973,a12973,a12973,vietjet air,vj,vjc,973,vj973,vjc973,,,5,,,,,
departure,active,dad,vvdn,2,2.0,2023-11-01t12:05:00.000,2023-11-01t12:05:00.000,2023-11-01t12:07:00.000,2023-11-01t12:07:00.000,2023-11-01t12:07:00.000,sin,wsss,4,2023-11-01t16:00:00.000,2023-11-01t15:32:00.000,flexflight,w2,fxt,4973,w24973,fxt4973,vietjet air,vj,vjc,973,vj973,vjc973,,,5,,,,,
departure,active,dad,vvdn,2,2.0,2023-11-01t12:05:00.000,2023-11-01t12:05:00.000,2023-11-01t12:07:00.000,2023-11-01t12:07:00.000,2023-11-01t12:07:00.000,sin,wsss,4,2023-11-01t16:00:00.000,2023-11-01t15:32:00.000,,h1,h1,4148,h14148,h14148,vietjet air,vj,vjc,973,vj973,vjc973,,,5,,,,,
departure,active,dad,vvdn,2,2.0,2023-11-01t12:05:00.000,2023-11-01t12:05:00.000,2023-11-01t12:07:00.000,2023-11-01t12:07:00.000,2023-11-01t12:07:00.000,sin,wsss,4,2023-11-01t16:00:00.000,2023-11-01t15:32:00.000,vietjet air,vj,vjc,973,vj973,vjc973,,,,,,,,,5,,,,,
departure,active,dad,vvdn,1,5.0,2023-11-01t12:10:00.000,,2023-11-01t12:15:00.000,2023-11-01t12:15:00.000,2023-11-01t12:15:00.000,han,vvnb,1,2023-11-01t13:30:00.000,2023-11-01t13:15:00.000,bamboo airways,qh,bav,108,qh108,bav108,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,85.0,2023-11-01t12:20:00.000,2023-11-01t13:45:00.000,,,,kul,wmkk,2,2023-11-01t16:20:00.000,,airasia,ak,axm,649,ak649,axm649,,,,,,,,,,,,,,
departure,unknown,dad,vvdn,1,,2023-11-01t12:25:00.000,,,,,han,vvnb,1,2023-11-01t13:45:00.000,,bamboo airways,qh,bav,114,qh114,bav114,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,15.0,2023-11-01t12:40:00.000,2023-11-01t12:37:00.000,2023-11-01t12:54:00.000,2023-11-01t12:54:00.000,2023-11-01t12:54:00.000,dmk,vtbd,1,2023-11-01t14:20:00.000,2023-11-01t14:13:00.000,airasia,ak,axm,637,ak637,axm637,,,,,,,,,,,,,,
departure,active,dad,vvdn,1,9.0,2023-11-01t12:40:00.000,2023-11-01t12:31:00.000,2023-11-01t12:49:00.000,2023-11-01t12:49:00.000,2023-11-01t12:49:00.000,sgn,vvts,1,2023-11-01t14:25:00.000,2023-11-01t13:57:00.000,cambodia angkor air,k6,khv,3123,k63123,khv3123,vietnam airlines,vn,hvn,123,vn123,hvn123,,,,,,,,
departure,active,dad,vvdn,1,9.0,2023-11-01t12:40:00.000,2023-11-01t12:31:00.000,2023-11-01t12:49:00.000,2023-11-01t12:49:00.000,2023-11-01t12:49:00.000,sgn,vvts,1,2023-11-01t14:25:00.000,2023-11-01t13:57:00.000,vietnam airlines,vn,hvn,123,vn123,hvn123,,,,,,,,,,,,,,
departure,active,dad,vvdn,,35.0,2023-11-01t12:50:00.000,2023-11-01t13:04:00.000,2023-11-01t13:25:00.000,2023-11-01t13:25:00.000,2023-11-01t13:25:00.000,kul,wmkk,1,2023-11-01t16:40:00.000,2023-11-01t16:44:00.000,turkish airlines,tk,thy,4779,tk4779,thy4779,batik air,id,btk,503,id503,btk503,,5.0,,,,,,
departure,active,dad,vvdn,,35.0,2023-11-01t12:50:00.000,2023-11-01t13:04:00.000,2023-11-01t13:25:00.000,2023-11-01t13:25:00.000,2023-11-01t13:25:00.000,kul,wmkk,1,2023-11-01t16:40:00.000,2023-11-01t16:44:00.000,batik air,id,btk,503,id503,btk503,,,,,,,,5.0,,,,,,
departure,active,dad,vvdn,1,22.0,2023-11-01t12:55:00.000,2023-11-01t12:55:00.000,2023-11-01t13:16:00.000,2023-11-01t13:16:00.000,2023-11-01t13:16:00.000,han,vvnb,t1,2023-11-01t14:15:00.000,2023-11-01t14:15:00.000,,a1,a1,2510,a12510,a12510,vietjet air,vj,vjc,510,vj510,vjc510,,,,,,,,
departure,active,dad,vvdn,1,22.0,2023-11-01t12:55:00.000,2023-11-01t12:55:00.000,2023-11-01t13:16:00.000,2023-11-01t13:16:00.000,2023-11-01t13:16:00.000,han,vvnb,t1,2023-11-01t14:15:00.000,2023-11-01t14:15:00.000,flexflight,w2,fxt,4510,w24510,fxt4510,vietjet air,vj,vjc,510,vj510,vjc510,,,,,,,,
departure,active,dad,vvdn,1,22.0,2023-11-01t12:55:00.000,2023-11-01t12:55:00.000,2023-11-01t13:16:00.000,2023-11-01t13:16:00.000,2023-11-01t13:16:00.000,han,vvnb,t1,2023-11-01t14:15:00.000,2023-11-01t14:15:00.000,,h1,h1,4129,h14129,h14129,vietjet air,vj,vjc,510,vj510,vjc510,,,,,,,,
departure,active,dad,vvdn,1,22.0,2023-11-01t12:55:00.000,2023-11-01t12:55:00.000,2023-11-01t13:16:00.000,2023-11-01t13:16:00.000,2023-11-01t13:16:00.000,han,vvnb,t1,2023-11-01t14:15:00.000,2023-11-01t14:15:00.000,vietjet air,vj,vjc,510,vj510,vjc510,,,,,,,,,,,,,,
departure,active,dad,vvdn,2,14.0,2023-11-01t13:00:00.000,2023-11-01t12:55:00.000,2023-11-01t13:14:00.000,2023-11-01t13:14:00.000,2023-11-01t13:14:00.000,tpe,rctp,2,2023-11-01t16:45:00.000,2023-11-01t16:32:00.000,eva air,br,eva,384,br384,eva384,,,,,,,c10,,5,,,,,
departure,active,dad,vvdn,1,,2023-11-01t13:05:00.000,2023-11-01t13:05:00.000,,,,sgn,vvts,1,2023-11-01t14:30:00.000,,,a1,a1,2629,a12629,a12629,vietjet air,vj,vjc,629,vj629,vjc629,,,,,,,,
departure,active,dad,vvdn,1,,2023-11-01t13:05:00.000,2023-11-01t13:05:00.000,,,,sgn,vvts,1,2023-11-01t14:30:00.000,,flexflight,w2,fxt,4629,w24629,fxt4629,vietjet air,vj,vjc,629,vj629,vjc629,,,,,,,,
departure,active,dad,vvdn,1,,2023-11-01t13:05:00.000,2023-11-01t13:05:00.000,,,,sgn,vvts,1,2023-11-01t14:30:00.000,,,h1,h1,4226,h14226,h14226,vietjet air,vj,vjc,629,vj629,vjc629,,,,,,,,
departure,active,dad,vvdn,1,,2023-11-01t13:05:00.000,2023-11-01t13:05:00.000,,,,sgn,vvts,1,2023-11-01t14:30:00.000,,vietjet air,vj,vjc,629,vj629,vjc629,,,,,,,,,,,,,,
departure,unknown,dad,vvdn,1,,2023-11-01t13:10:00.000,,,,,sgn,vvts,1,2023-11-01t14:20:00.000,,vietnam airlines,vn,hvn,6067,vn6067,hvn6067,,,,,,,,,,,,,,
