error,type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.scheduledTime,departure.estimatedTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.estimatedTime,arrival.delay,departure.gate,arrival.gate,arrival.terminal,arrival.baggage
date_from < 1 year from current date!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t12:20:00.000,2023-12-01t12:20:00.000,pqc,vvpq,2023-12-01t13:20:00.000,,h1,h1,4322,h14322,h14322,vietjet air,vj,vjc,325,vj325,vjc325,30.0,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:26:00.000,9.0,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t12:20:00.000,2023-12-01t12:20:00.000,pqc,vvpq,2023-12-01t13:20:00.000,vietjet air,vj,vjc,325,vj325,vjc325,,,,,,,30.0,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t12:50:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:28:00.000,2023-12-01t13:26:00.000,9.0,,,,
,arrival,unknown,vca,vvct,,2023-12-01t12:35:00.000,,pqc,vvpq,2023-12-01t13:25:00.000,bamboo airways,qh,bav,2181,qh2181,bav2181,,,,,,,,,,,,,,,,,,,
,arrival,landed,kul,wmkk,2,2023-12-01t12:50:00.000,,pqc,vvpq,2023-12-01t13:35:00.000,airasia,ak,axm,545,ak545,axm545,,,,,,,12.0,2023-12-01t13:02:00.000,2023-12-01t13:02:00.000,2023-12-01t13:02:00.000,2023-12-01t13:20:00.000,2023-12-01t13:20:00.000,2023-12-01t13:20:00.000,2023-12-01t13:20:00.000,,l14,8,,
,arrival,unknown,sgn,vvts,1,2023-12-01t13:00:00.000,2023-12-01t13:00:00.000,pqc,vvpq,2023-12-01t14:00:00.000,,a1,a1,2327,a12327,a12327,vietjet air,vj,vjc,327,vj327,vjc327,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t13:00:00.000,2023-12-01t13:00:00.000,pqc,vvpq,2023-12-01t14:00:00.000,flexflight,w2,fxt,4327,w24327,fxt4327,vietjet air,vj,vjc,327,vj327,vjc327,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t13:00:00.000,2023-12-01t13:00:00.000,pqc,vvpq,2023-12-01t14:00:00.000,,h1,h1,4220,h14220,h14220,vietjet air,vj,vjc,327,vj327,vjc327,,,,,,,,,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t13:00:00.000,2023-12-01t13:00:00.000,pqc,vvpq,2023-12-01t14:00:00.000,vietjet air,vj,vjc,327,vj327,vjc327,,,,,,,,,,,,,,,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t13:20:00.000,2023-12-01t13:20:00.000,pqc,vvpq,2023-12-01t14:35:00.000,vietnam airlines,vn,hvn,1827,vn1827,hvn1827,,,,,,,12.0,2023-12-01t13:31:00.000,2023-12-01t13:31:00.000,2023-12-01t13:31:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,,,,,,
,arrival,unknown,han,vvnb,1,2023-12-01t12:25:00.000,,pqc,vvpq,2023-12-01t14:35:00.000,bamboo airways,qh,bav,1623,qh1623,bav1623,,,,,,,,,,,,,,,,,,,
,arrival,unknown,hph,vvci,,2023-12-01t13:50:00.000,,pqc,vvpq,2023-12-01t15:55:00.000,bamboo airways,qh,bav,2031,qh2031,bav2031,,,,,,,,,,,,,,,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t13:55:00.000,,pqc,vvpq,2023-12-01t16:05:00.000,,a1,a1,2457,a12457,a12457,vietjet air,vj,vjc,457,vj457,vjc457,12.0,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t13:55:00.000,,pqc,vvpq,2023-12-01t16:05:00.000,flexflight,w2,fxt,4457,w24457,fxt4457,vietjet air,vj,vjc,457,vj457,vjc457,12.0,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t13:55:00.000,,pqc,vvpq,2023-12-01t16:05:00.000,,h1,h1,4493,h14493,h14493,vietjet air,vj,vjc,457,vj457,vjc457,12.0,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,,,,,
,arrival,landed,han,vvnb,t1,2023-12-01t13:55:00.000,,pqc,vvpq,2023-12-01t16:05:00.000,vietjet air,vj,vjc,457,vj457,vjc457,,,,,,,12.0,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t14:07:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,2023-12-01t15:53:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-01t15:35:00.000,2023-12-01t15:35:00.000,pqc,vvpq,2023-12-01t16:45:00.000,vietnam airlines,vn,hvn,1829,vn1829,hvn1829,,,,,,,19.0,2023-12-01t15:54:00.000,2023-12-01t15:54:00.000,2023-12-01t15:54:00.000,2023-12-01t16:31:00.000,2023-12-01t16:31:00.000,2023-12-01t16:31:00.000,,,,,,
,arrival,unknown,han,vvnb,1,2023-12-01t15:20:00.000,,pqc,vvpq,2023-12-01t17:30:00.000,bamboo airways,qh,bav,1625,qh1625,bav1625,,,,,,,,,,,,,,,,,,,
,arrival,landed,sgn,vvts,,2023-12-01t17:05:00.000,,pqc,vvpq,2023-12-01t18:10:00.000,vietravel airlines,vu,vag,303,vu303,vag303,,,,,,,13.0,2023-12-01t17:18:00.000,2023-12-01t17:18:00.000,2023-12-01t17:18:00.000,2023-12-01t17:54:00.000,2023-12-01t17:54:00.000,2023-12-01t17:54:00.000,2023-12-01t17:53:00.000,,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t17:45:00.000,,pqc,vvpq,2023-12-01t18:50:00.000,vietnam airlines,vn,hvn,6521,vn6521,hvn6521,,,,,,,,,,,,,,,,,,,
,arrival,landed,hph,vvci,,2023-12-01t16:50:00.000,,pqc,vvpq,2023-12-01t18:55:00.000,,a1,a1,2767,a12767,a12767,vietjet air,vj,vjc,767,vj767,vjc767,36.0,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,16.0,,,,
,arrival,landed,hph,vvci,,2023-12-01t16:50:00.000,,pqc,vvpq,2023-12-01t18:55:00.000,flexflight,w2,fxt,4767,w24767,fxt4767,vietjet air,vj,vjc,767,vj767,vjc767,36.0,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,16.0,,,,
,arrival,landed,hph,vvci,,2023-12-01t16:50:00.000,,pqc,vvpq,2023-12-01t18:55:00.000,,h1,h1,4498,h14498,h14498,vietjet air,vj,vjc,767,vj767,vjc767,36.0,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,16.0,,,,
,arrival,landed,hph,vvci,,2023-12-01t16:50:00.000,,pqc,vvpq,2023-12-01t18:55:00.000,vietjet air,vj,vjc,767,vj767,vjc767,,,,,,,36.0,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,2023-12-01t19:11:00.000,16.0,,,,
,arrival,unknown,sgn,vvts,1,2023-12-01t18:10:00.000,,pqc,vvpq,2023-12-01t19:15:00.000,vietnam airlines,vn,hvn,6523,vn6523,hvn6523,,,,,,,,,,,,,,,,,,,
,arrival,unknown,han,vvnb,1,2023-12-01t17:30:00.000,,pqc,vvpq,2023-12-01t19:40:00.000,bamboo airways,qh,bav,1627,qh1627,bav1627,,,,,,,,,,,,,,,,,,,
,arrival,landed,icn,rksi,2,2023-12-01t15:45:00.000,2023-12-01t15:42:00.000,pqc,vvpq,2023-12-01t19:50:00.000,korean air,ke,kal,487,ke487,kal487,,,,,,,26.0,2023-12-01t16:11:00.000,2023-12-01t16:11:00.000,2023-12-01t16:11:00.000,2023-12-01t19:41:00.000,2023-12-01t19:41:00.000,2023-12-01t19:41:00.000,2023-12-01t19:35:00.000,,267,,,
,arrival,landed,sgn,vvts,1,2023-12-01t18:35:00.000,2023-12-01t18:35:00.000,pqc,vvpq,2023-12-01t19:50:00.000,vietnam airlines,vn,hvn,1835,vn1835,hvn1835,,,,,,,18.0,2023-12-01t18:52:00.000,2023-12-01t18:52:00.000,2023-12-01t18:52:00.000,2023-12-01t19:29:00.000,2023-12-01t19:29:00.000,2023-12-01t19:29:00.000,,,,,,
,arrival,landed,icn,rksi,2,2023-12-01t17:25:00.000,2023-12-01t17:25:00.000,pqc,vvpq,2023-12-01t21:20:00.000,jin air,lj,jna,37,lj37,jna37,,,,,,,24.0,2023-12-01t17:48:00.000,2023-12-01t17:48:00.000,2023-12-01t17:48:00.000,2023-12-01t21:11:00.000,2023-12-01t21:11:00.000,2023-12-01t21:11:00.000,2023-12-01t21:05:00.000,,261,,,
,arrival,landed,icn,rksi,1,2023-12-01t20:35:00.000,2023-12-01t20:29:00.000,pqc,vvpq,2023-12-02t00:50:00.000,,h1,h1,9954,h19954,h19954,jeju air,7c,jja,4103,7c4103,jja4103,42.0,2023-12-01t21:17:00.000,2023-12-01t21:17:00.000,2023-12-01t21:17:00.000,2023-12-02t00:56:00.000,2023-12-02t00:56:00.000,2023-12-02t00:56:00.000,2023-12-02t00:50:00.000,6.0,28,,,
,arrival,landed,icn,rksi,1,2023-12-01t20:35:00.000,2023-12-01t20:29:00.000,pqc,vvpq,2023-12-02t00:50:00.000,jeju air,7c,jja,4103,7c4103,jja4103,,,,,,,42.0,2023-12-01t21:17:00.000,2023-12-01t21:17:00.000,2023-12-01t21:17:00.000,2023-12-02t00:56:00.000,2023-12-02t00:56:00.000,2023-12-02t00:56:00.000,2023-12-02t00:50:00.000,6.0,28,,,
,arrival,landed,icn,rksi,1,2023-12-02t01:45:00.000,2023-12-02t01:45:00.000,pqc,vvpq,2023-12-02t05:35:00.000,,a1,a1,2975,a12975,a12975,vietjet air,vj,vjc,975,vj975,vjc975,,2023-12-02t01:44:00.000,2023-12-02t01:44:00.000,2023-12-02t01:44:00.000,2023-12-02t05:12:00.000,2023-12-02t05:12:00.000,2023-12-02t05:12:00.000,2023-12-02t05:11:00.000,,107,,,
,arrival,landed,icn,rksi,1,2023-12-02t01:45:00.000,2023-12-02t01:45:00.000,pqc,vvpq,2023-12-02t05:35:00.000,flexflight,w2,fxt,4975,w24975,fxt4975,vietjet air,vj,vjc,975,vj975,vjc975,,2023-12-02t01:44:00.000,2023-12-02t01:44:00.000,2023-12-02t01:44:00.000,2023-12-02t05:12:00.000,2023-12-02t05:12:00.000,2023-12-02t05:12:00.000,2023-12-02t05:11:00.000,,107,,,
,arrival,landed,icn,rksi,1,2023-12-02t01:45:00.000,2023-12-02t01:45:00.000,pqc,vvpq,2023-12-02t05:35:00.000,,h1,h1,4540,h14540,h14540,vietjet air,vj,vjc,975,vj975,vjc975,,2023-12-02t01:44:00.000,2023-12-02t01:44:00.000,2023-12-02t01:44:00.000,2023-12-02t05:12:00.000,2023-12-02t05:12:00.000,2023-12-02t05:12:00.000,2023-12-02t05:11:00.000,,107,,,
,arrival,landed,icn,rksi,1,2023-12-02t01:45:00.000,2023-12-02t01:45:00.000,pqc,vvpq,2023-12-02t05:35:00.000,vietjet air,vj,vjc,975,vj975,vjc975,,,,,,,,2023-12-02t01:44:00.000,2023-12-02t01:44:00.000,2023-12-02t01:44:00.000,2023-12-02t05:12:00.000,2023-12-02t05:12:00.000,2023-12-02t05:12:00.000,2023-12-02t05:11:00.000,,107,,,
,arrival,landed,icn,rksi,1,2023-12-02t02:20:00.000,2023-12-02t02:20:00.000,pqc,vvpq,2023-12-02t06:10:00.000,,a1,a1,2979,a12979,a12979,vietjet air,vj,vjc,979,vj979,vjc979,6.0,2023-12-02t02:26:00.000,2023-12-02t02:26:00.000,2023-12-02t02:26:00.000,2023-12-02t05:52:00.000,2023-12-02t05:52:00.000,2023-12-02t05:52:00.000,2023-12-02t05:51:00.000,,111,,,
,arrival,landed,icn,rksi,1,2023-12-02t02:20:00.000,2023-12-02t02:20:00.000,pqc,vvpq,2023-12-02t06:10:00.000,flexflight,w2,fxt,4979,w24979,fxt4979,vietjet air,vj,vjc,979,vj979,vjc979,6.0,2023-12-02t02:26:00.000,2023-12-02t02:26:00.000,2023-12-02t02:26:00.000,2023-12-02t05:52:00.000,2023-12-02t05:52:00.000,2023-12-02t05:52:00.000,2023-12-02t05:51:00.000,,111,,,
,arrival,landed,icn,rksi,1,2023-12-02t02:20:00.000,2023-12-02t02:20:00.000,pqc,vvpq,2023-12-02t06:10:00.000,,h1,h1,4150,h14150,h14150,vietjet air,vj,vjc,979,vj979,vjc979,6.0,2023-12-02t02:26:00.000,2023-12-02t02:26:00.000,2023-12-02t02:26:00.000,2023-12-02t05:52:00.000,2023-12-02t05:52:00.000,2023-12-02t05:52:00.000,2023-12-02t05:51:00.000,,111,,,
,arrival,landed,icn,rksi,1,2023-12-02t02:20:00.000,2023-12-02t02:20:00.000,pqc,vvpq,2023-12-02t06:10:00.000,vietjet air,vj,vjc,979,vj979,vjc979,,,,,,,6.0,2023-12-02t02:26:00.000,2023-12-02t02:26:00.000,2023-12-02t02:26:00.000,2023-12-02t05:52:00.000,2023-12-02t05:52:00.000,2023-12-02t05:52:00.000,2023-12-02t05:51:00.000,,111,,,
,arrival,unknown,sgn,vvts,1,2023-12-02t05:55:00.000,,pqc,vvpq,2023-12-02t06:55:00.000,bamboo airways,qh,bav,1525,qh1525,bav1525,,,,,,,,,,,,,,,,,,,
,arrival,landed,sgn,vvts,1,2023-12-02t06:25:00.000,2023-12-02t06:25:00.000,pqc,vvpq,2023-12-02t07:25:00.000,,a1,a1,2321,a12321,a12321,vietjet air,vj,vjc,321,vj321,vjc321,12.0,2023-12-02t06:36:00.000,2023-12-02t06:36:00.000,2023-12-02t06:36:00.000,2023-12-02t07:13:00.000,2023-12-02t07:13:00.000,2023-12-02t07:13:00.000,2023-12-02t07:12:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-02t06:25:00.000,2023-12-02t06:25:00.000,pqc,vvpq,2023-12-02t07:25:00.000,flexflight,w2,fxt,4321,w24321,fxt4321,vietjet air,vj,vjc,321,vj321,vjc321,12.0,2023-12-02t06:36:00.000,2023-12-02t06:36:00.000,2023-12-02t06:36:00.000,2023-12-02t07:13:00.000,2023-12-02t07:13:00.000,2023-12-02t07:13:00.000,2023-12-02t07:12:00.000,,,,,
,arrival,landed,sgn,vvts,1,2023-12-02t06:25:00.000,2023-12-02t06:25:00.000,pqc,vvpq,2023-12-02t07:25:00.000,,h1,h1,4318,h14318,h14318,vietjet air,vj,vjc,321,vj321,vjc321,12.0,2023-12-02t06:36:00.000,2023-12-02t06:36:00.000,2023-12-02t06:36:00.000,2023-12-02t07:13:00.000,2023-12-02t07:13:00.000,2023-12-02t07:13:00.000,2023-12-02t07:12:00.000,,,,,
