type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,departure.delay,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.baggage,departure.gate,arrival.gate,arrival.delay,departure.terminal,error
departure,active,pqc,vvpq,2023-11-01t13:30:00.000,han,vvnb,t1,2023-11-01t15:35:00.000,vietjet air,vj,vjc,454,vj454,vjc454,,,,,,,,9.0,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t15:21:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t13:45:00.000,sgn,vvts,1,2023-11-01t14:10:00.000,vietnam airlines,vn,hvn,1824,vn1824,hvn1824,,,,,,,,,2023-11-01t12:47:00.000,2023-11-01t12:47:00.000,2023-11-01t12:47:00.000,2023-11-01t13:36:00.000,2023-11-01t13:30:00.000,2023-11-01t13:30:00.000,2023-11-01t13:30:00.000,,,,,,
departure,unknown,pqc,vvpq,2023-11-01t13:55:00.000,sgn,vvts,1,2023-11-01t15:00:00.000,,a1,a1,2326,a12326,a12326,vietjet air,vj,vjc,326,vj326,vjc326,,,,,,,,,,,,,,,
departure,unknown,pqc,vvpq,2023-11-01t13:55:00.000,sgn,vvts,1,2023-11-01t15:00:00.000,flexflight,w2,fxt,4326,w24326,fxt4326,vietjet air,vj,vjc,326,vj326,vjc326,,,,,,,,,,,,,,,
departure,unknown,pqc,vvpq,2023-11-01t13:55:00.000,sgn,vvts,1,2023-11-01t15:00:00.000,,h1,h1,4219,h14219,h14219,vietjet air,vj,vjc,326,vj326,vjc326,,,,,,,,,,,,,,,
departure,unknown,pqc,vvpq,2023-11-01t13:55:00.000,sgn,vvts,1,2023-11-01t15:00:00.000,vietjet air,vj,vjc,326,vj326,vjc326,,,,,,,,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t14:05:00.000,kul,wmkk,2,2023-11-01t16:55:00.000,airasia,ak,axm,546,ak546,axm546,,,,,,,,,2023-11-01t14:00:00.000,2023-11-01t14:00:00.000,2023-11-01t14:00:00.000,2023-11-01t16:25:00.000,,,,,9,,,,
departure,active,pqc,vvpq,2023-11-01t14:05:00.000,han,vvnb,t1,2023-11-01t16:15:00.000,bamboo airways,qh,bav,1622,qh1622,bav1622,,,,,,,,11.0,2023-11-01t14:15:00.000,2023-11-01t14:15:00.000,2023-11-01t14:15:00.000,2023-11-01t16:01:00.000,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t14:35:00.000,sgn,vvts,1,2023-11-01t15:40:00.000,jetstar pacific,bl,pic,6516,bl6516,pic6516,,,,,,,2023-11-01t14:35:00.000,,,,,,,,,,,,,,
departure,active,pqc,vvpq,2023-11-01t15:15:00.000,sgn,vvts,1,2023-11-01t16:30:00.000,vietnam airlines,vn,hvn,1826,vn1826,hvn1826,,,,,,,,12.0,2023-11-01t15:26:00.000,2023-11-01t15:26:00.000,2023-11-01t15:26:00.000,2023-11-01t16:10:00.000,,,,,,,,,
